Time,CameraA Max,,mean,std,SE,,,,,,,,,
20221215_174240,556,,,,,,,,,,,,,
20221215_174241,538,,,,,,,,,,,,,
20221215_174241,541,,,,,,,,,,,,,
20221215_174241,577,,,,,,,,,,,,,
20221215_174241,523,,,,,,,,,,,,,
20221215_174241,562,,,,,,,,,,,,,
20221215_174241,605,,,,,,,,,,,,,
20221215_174241,562,,,,,,,,,,,,,
20221215_174241,484,,,,,,,,,,,,,
20221215_174241,547,,,,,,,,,,,,,
20221215_174241,424,,,,,,,,,,,,,
20221215_174241,596,,,,,,,,,,,,,
20221215_174241,497,,,,,,,,,,,,,
20221215_174241,556,,,,,,,,,,,,,
20221215_174241,541,,,,,,,,,,,,,
20221215_174241,531,,,,,,,,,,,,,
20221215_174241,539,,,,,,,,,,,,,
20221215_174241,560,,,,,,,,,,,,,
20221215_174241,555,,,,,,,,,,,,,
20221215_174242,520,,,,,,,,,,,,,
20221215_174242,515,,,,,,,,,,,,,
20221215_174242,453,,,,,,,,,,,,,
20221215_174242,593,,,,,,,,,,,,,
20221215_174242,583,,,,,,,,,,,,,
20221215_174242,536,,,,,,,,,,,,,
20221215_174242,552,,,,,,,,,,,,,
20221215_174242,468,,,,,,,,,,,,,
20221215_174242,593,,,,,,,,,,,,,
20221215_174242,563,,,,,,,,,,,,,
20221215_174242,522,,,,,,,,,,,,,
20221215_174242,627,,,,,,,,,,,,,
20221215_174242,564,,,,,,,,,,,,,
20221215_174242,515,,,,,,,,,,,,,
20221215_174242,582,,,,,,,,,,,,,
20221215_174242,501,,,,,,,,,,,,,
20221215_174242,536,,,,,,,,,,,,,
20221215_174242,526,,,,,,,,,,,,,
20221215_174243,519,,,,,,,,,,,,,
20221215_174243,492,,,,,,,,,,,,,
20221215_174243,549,,,,,,,,,,,,,
20221215_174243,525,,,,,,,,,,,,,
20221215_174243,558,,,,,,,,,,,,,
20221215_174243,572,,,,,,,,,,,,,
20221215_174243,542,,,,,,,,,,,,,
20221215_174243,559,,,,,,,,,,,,,
20221215_174243,509,,,,,,,,,,,,,
20221215_174243,496,,,,,,,,,,,,,
20221215_174243,586,,,,,,,,,,,,,
20221215_174243,518,,,,,,,,,,,,,
20221215_174243,565,,,,,,,,,,,,,
20221215_174243,618,,,,,,,,,,,,,
20221215_174243,608,,,,,,,,,,,,,
20221215_174243,485,,,,,,,,,,,,,
20221215_174243,545,,,,,,,,,,,,,
20221215_174243,576,,,,,,,,,,,,,
20221215_174244,527,,,,,,,,,,,,,
20221215_174244,541,,,,,,,,,,,,,
20221215_174244,518,,,,,,,,,,,,,
20221215_174244,557,,,,,,,,,,,,,
20221215_174244,574,,,,,,,,,,,,,
20221215_174244,519,,,,,,,,,,,,,
20221215_174244,566,,,,,,,,,,,,,
20221215_174244,536,,,,,,,,,,,,,
20221215_174244,535,,,,,,,,,,,,,
20221215_174244,559,,,,,,,,,,,,,
20221215_174244,526,,,,,,,,,,,,,
20221215_174244,572,,,,,,,,,,,,,
20221215_174244,563,,,,,,,,,,,,,
20221215_174244,539,,,,,,,,,,,,,
20221215_174244,563,,,,,,,,,,,,,
20221215_174244,504,,,,,,,,,,,,,
20221215_174244,516,,,,,,,,,,,,,
20221215_174245,497,,,,,,,,,,,,,
20221215_174245,592,,,,,,,,,,,,,
20221215_174245,482,,,,,,,,,,,,,
20221215_174245,503,,,,,,,,,,,,,
20221215_174245,533,,,,,,,,,,,,,
20221215_174245,617,,,,,,,,,,,,,
20221215_174245,493,,,,,,,,,,,,,
20221215_174245,513,,,,,,,,,,,,,
20221215_174245,545,,,,,,,,,,,,,
20221215_174245,521,,,,,,,,,,,,,
20221215_174245,567,,,,,,,,,,,,,
20221215_174245,520,,,,,,,,,,,,,
20221215_174245,482,,,,,,,,,,,,,
20221215_174245,546,,,,,,,,,,,,,
20221215_174245,574,,,,,,,,,,,,,
20221215_174245,480,,,,,,,,,,,,,
20221215_174245,515,,,,,,,,,,,,,
20221215_174245,558,,,,,,,,,,,,,
20221215_174246,501,,,,,,,,,,,,,
20221215_174246,560,,,,,,,,,,,,,
20221215_174246,464,,,,,,,,,,,,,
20221215_174246,542,,,,,,,,,,,,,
20221215_174246,461,,,,,,,,,,,,,
20221215_174246,657,,,,,,,,,,,,,
20221215_174246,538,,,,,,,,,,,,,
20221215_174246,485,,,,,,,,,,,,,
20221215_174246,563,,,,,,,,,,,,,
20221215_174246,559,,,,,,,,,,,,,
20221215_174246,502,,,,,,,,,,,,,
20221215_174246,475,,,,,,,,,,,,,
20221215_174246,549,,,,,,,,,,,,,
20221215_174246,547,,,,,,,,,,,,,
20221215_174246,567,,,,,,,,,,,,,
20221215_174246,551,,,,,,,,,,,,,
20221215_174246,543,,,,,,,,,,,,,
20221215_174246,501,,,,,,,,,,,,,
20221215_174247,489,,,,,,,,,,,,,
20221215_174247,560,,,,,,,,,,,,,
20221215_174247,580,,,,,,,,,,,,,
20221215_174247,561,,,,,,,,,,,,,
20221215_174247,550,,,,,,,,,,,,,
20221215_174247,551,,,,,,,,,,,,,
20221215_174247,509,,,,,,,,,,,,,
20221215_174247,573,,,,,,,,,,,,,
20221215_174247,586,,,,,,,,,,,,,
20221215_174247,493,,,,,,,,,,,,,
20221215_174247,473,,,,,,,,,,,,,
20221215_174247,474,,,,,,,,,,,,,
20221215_174247,574,,,,,,,,,,,,,
20221215_174247,534,,,,,,,,,,,,,
20221215_174247,525,,,,,,,,,,,,,
20221215_174247,566,,,,,,,,,,,,,
20221215_174247,590,,,,,,,,,,,,,
20221215_174247,486,,,,,,,,,,,,,
20221215_174248,581,,,,,,,,,,,,,
20221215_174248,538,,,,,,,,,,,,,
20221215_174248,506,,,,,,,,,,,,,
20221215_174248,492,,,,,,,,,,,,,
20221215_174248,613,,,,,,,,,,,,,
20221215_174248,618,,,,,,,,,,,,,
20221215_174248,488,,,,,,,,,,,,,
20221215_174248,518,,,,,,,,,,,,,
20221215_174248,534,,,,,,,,,,,,,
20221215_174248,520,,,,,,,,,,,,,
20221215_174248,434,,,,,,,,,,,,,
20221215_174248,539,,,,,,,,,,,,,
20221215_174248,521,,,,,,,,,,,,,
20221215_174248,578,,,,,,,,,,,,,
20221215_174248,524,,,,,,,,,,,,,
20221215_174248,554,,,,,,,,,,,,,
20221215_174248,479,,,,,,,,,,,,,
20221215_174249,527,,,,,,,,,,,,,
20221215_174249,566,,,,,,,,,,,,,
20221215_174249,546,,,,,,,,,,,,,
20221215_174249,536,,,,,,,,,,,,,
20221215_174249,507,,,,,,,,,,,,,
20221215_174249,496,,,,,,,,,,,,,
20221215_174249,567,,,,,,,,,,,,,
20221215_174249,498,,,,,,,,,,,,,
20221215_174249,538,,,,,,,,,,,,,
20221215_174249,549,,,,,,,,,,,,,
20221215_174249,481,,,,,,,,,,,,,
20221215_174249,505,,,,,,,,,,,,,
20221215_174249,492,,,,,,,,,,,,,
20221215_174249,519,,,,,,,,,,,,,
20221215_174249,497,,,,,,,,,,,,,
20221215_174249,507,,,,,,,,,,,,,
20221215_174249,496,,,,,,,,,,,,,
20221215_174249,532,,,,,,,,,,,,,
20221215_174250,607,,,,,,,,,,,,,
20221215_174250,503,,,,,,,,,,,,,
20221215_174250,591,,,,,,,,,,,,,
20221215_174250,554,,,,,,,,,,,,,
20221215_174250,543,,,,,,,,,,,,,
20221215_174250,512,,,,,,,,,,,,,
20221215_174250,464,,,,,,,,,,,,,
20221215_174250,474,,,,,,,,,,,,,
20221215_174250,557,,,,,,,,,,,,,
20221215_174250,611,,,,,,,,,,,,,
20221215_174250,565,,,,,,,,,,,,,
20221215_174250,543,,,,,,,,,,,,,
